Title,Surname,Status
Viscount Rothermere[360],Harmsworth,extant
Viscount Borodale[361],Beatty,extant
Viscount Dawick[361],Haig,extant
Viscount Elveden[361],Guinness,extant
Viscount Allenby[362],Allenby,extant
Viscount Dunsford[363],Brodrick,extinct 2 November 1979
Viscount Novar[364],Munro-Ferguson,extinct 30 March 1934
Viscount FitzAlan of Derwent[365],Talbot-FitzAlan-Howard,extinct 17 May 1962
Viscount Chelmsford[366],Thesiger,extant
Viscount Long[367],Long,extant
Viscount Birkenhead[366],Smith,extinct 18 February 1985
Viscount Ullswater[368],Lowther,extant
Viscount Pirrie[369],Pirrie,extinct 6 June 1924
Viscount Traprain[370],Balfour,extant
Viscount Leverhulme[371],Lever,extinct 4 July 2000
Viscount Furneaux[371],Smith,extinct 18 February 1985
Viscount Lee of Fareham[371],Lee,extinct 21 July 1947
Viscount Younger of Leckie[372],Younger,extant
Viscount Cecil of Chelwood[373],Gascoyne-Cecil,extinct 24 November 1958
Viscount Inchcape[374],Mackay,extant
Viscount Willingdon[375],Freeman-Thomas,extinct 19 March 1979
Viscount Asquith[376],Asquith,extant
Viscount Bearsted[377],Samuel,extant
Viscount Brocas[378],Jellicoe,extant
Viscount Dunedin[379],Murray,extinct 21 August 1942
Viscount D'Abernon[380],Vincent,extinct 1 November 1941
Viscount Tredegar[381],Morgan,extinct 27 April 1949
Viscount Craigavon[382],Craig,extant
Viscount Sumner[383],Hamilton,extinct 24 May 1934
Viscount Byng of Vimy[384],Byng,extinct 6 June 1935
Viscount Bridgeman[385],Bridgeman,extant
Viscount Glenapp[386],Mackay,extant
Viscount Plumer[387],Plumer,extinct 24 February 1944
Viscount Hailsham[388],Hogg,extant
Viscount Brentford[388],Joynson-Hicks,extant
Viscount Clanfield[389],Peel,extant
Viscount Ratendone[390],Freeman-Thomas,extinct 19 March 1979
Viscount Snowden[391],Snowden,extinct 15 May 1937
Viscount Sankey[392],Sankey,extinct 6 February 1948
Viscount Buckmaster[393],Buckmaster,extant
Viscount Wakefield[394],Wakefield,extinct 1941
Viscount Bledisloe[395],Bathurst,extant
Viscount Swinton[396],Cunliffe-Lister,extant
Viscount Monsell[396],Eyres-Monsell,extinct 28 November 1993
Viscount Hanworth[397],Pollock,extant
Viscount Trenchard[398],Trenchard,extant
Viscount Dawson of Penn[399],Dawson,extinct 7 March 1945
Viscount Greenwood[400],Greenwood,extinct 7 July 2003
Viscount Corvedale[401],Baldwin,extant
Viscount Samuel[401],Samuel,extant
Viscount Horne of Slamannan[402],Horne,extinct 3 September 1940
Viscount Runciman of Doxford[403],Runciman,extant
Viscount Davidson[404],Davidson,extant
Viscount Nuffield[405],Morris,extinct 22 August 1963
Viscount Weir[406],Weir,extant
Viscount Stonehaven[407],Baird,extant
Viscount Caldecote[408],Inskip,extant
Viscount Maugham[409],Maugham,extinct 13 March 1981
Viscount Simon[410],Simon,extinct 15 August 2021
Viscount Hewart[411],Hewart,extinct 23 July 1964
Viscount Camrose[412],Berry,extant
Viscount Bennett[413],Bennett,extinct 27 June 1947
Viscount Stansgate[414],Benn,extant
